Time,Temperature,Insolation
9/22/23 0:00,16.7,0
9/22/23 0:05,16.6,0
9/22/23 0:10,16.6,0
9/22/23 0:15,16.6,0
9/22/23 0:20,16.6,0
9/22/23 0:25,16.4,0
9/22/23 0:30,16.2,0
9/22/23 0:35,16.2,0
9/22/23 0:40,16.2,0
9/22/23 0:45,16.4,0
9/22/23 0:50,16.4,0
9/22/23 0:55,16.4,0
9/22/23 1:00,16.3,0
9/22/23 1:05,16.1,0
9/22/23 1:10,16.1,0
9/22/23 1:15,16.1,0
9/22/23 1:20,15.9,0
9/22/23 1:25,15.8,0
9/22/23 1:30,15.6,0
9/22/23 1:35,15.8,0
9/22/23 1:40,15.8,0
9/22/23 1:45,15.9,0
9/22/23 1:50,15.9,0
9/22/23 1:55,15.8,0
9/22/23 2:00,15.8,0
9/22/23 2:05,16,0
9/22/23 2:10,15.9,0
9/22/23 2:15,15.9,0
9/22/23 2:20,15.7,0
9/22/23 2:25,15.6,0
9/22/23 2:30,15.4,0
9/22/23 2:35,15.4,0
9/22/23 2:40,15.6,0
9/22/23 2:45,15.7,0
9/22/23 2:50,15.7,0
9/22/23 2:55,15.8,0
9/22/23 3:00,15.8,0
9/22/23 3:05,15.8,0
9/22/23 3:10,15.8,0
9/22/23 3:15,15.8,0
9/22/23 3:20,15.7,0
9/22/23 3:25,15.6,0
9/22/23 3:30,15.6,0
9/22/23 3:35,15.6,0
9/22/23 3:40,15.7,0
9/22/23 3:45,15.5,0
9/22/23 3:50,15.3,0
9/22/23 3:55,15,0
9/22/23 4:00,14.9,0
9/22/23 4:05,14.8,0
9/22/23 4:10,15,0
9/22/23 4:15,15.1,0
9/22/23 4:20,15.2,0
9/22/23 4:25,15.1,0
9/22/23 4:30,15,0
9/22/23 4:35,15,0
9/22/23 4:40,14.9,0
9/22/23 4:45,14.7,0
9/22/23 4:50,14.7,0
9/22/23 4:55,14.7,0
9/22/23 5:00,14.7,0
9/22/23 5:05,14.8,0
9/22/23 5:10,14.9,0
9/22/23 5:15,15,0
9/22/23 5:20,15,0
9/22/23 5:25,14.9,0
9/22/23 5:30,14.9,0
9/22/23 5:35,15,0
9/22/23 5:40,15,0
9/22/23 5:45,15.1,0
9/22/23 5:50,15.2,0
9/22/23 5:55,15.2,0
9/22/23 6:00,15.2,0
9/22/23 6:05,15.2,0
9/22/23 6:10,15.3,0
9/22/23 6:15,15.3,0
9/22/23 6:20,15.3,0.1
9/22/23 6:25,15.3,0.3
9/22/23 6:30,15.1,0.8
9/22/23 6:35,14.9,1.3
9/22/23 6:40,14.8,2.1
9/22/23 6:45,14.6,3.7
9/22/23 6:50,14.2,7.1
9/22/23 6:55,14,10.7
9/22/23 7:00,14.2,14.3
9/22/23 7:05,14.2,24.3
9/22/23 7:10,14.4,47.9
9/22/23 7:15,14.6,64.1
9/22/23 7:20,14.8,40.8
9/22/23 7:25,14.9,39.8
9/22/23 7:30,15,42.1
9/22/23 7:35,15,65.6
9/22/23 7:40,15.3,152.9
9/22/23 7:45,15.7,185.1
9/22/23 7:50,16.1,180
9/22/23 7:55,16.3,163.5
9/22/23 8:00,16.5,250.8
